Designator,Mid X,Mid Y,Rotation,Layer
_3,76.301031,-40.798474,0.0,top
_2,0.0,0.0,0.0,top
,6.03,-1.85,0.0,top
C1,54.16,43.93,180.0,top
C10,67.801031,-31.248474,270.0,top
C100,22.06,42.68,0.0,top
C101,12.85,8.67,270.0,top
C102,14.58,31.7,90.0,top
C103,14.8275,16.395,270.0,top
C104,14.58,29.03,270.0,top
C105,16.7875,15.375,180.0,top
C106,16.54,28.01,180.0,top
C107,20.9775,15.515,0.0,top
C108,20.73,28.15,0.0,top
C109,20.8775,12.325,0.0,top
C11,83.801031,-32.248474,0.0,top
C110,20.63,26.71,0.0,top
C111,20.8775,14.075,0.0,top
C112,88.81,45.18,0.0,top
C113,70.31,20.43,270.0,top
C114,92.06,26.43,180.0,top
C115,88.81,28.68,180.0,top
C116,70.31,3.93,270.0,top
C117,92.06,9.93,180.0,top
C118,88.81,12.18,180.0,top
C119,32.56,11.18,0.0,top
C12,68.81,6.68,90.0,top
C120,6.74,10.72,180.0,top
C121,5.72,8.76,90.0,top
C122,5.86,4.57,270.0,top
C123,2.67,4.67,270.0,top
C124,4.42,4.67,270.0,top
C125,29.81,8.43,0.0,top
C126,29.81,7.18,0.0,top
C127,83.801031,-28.498474,180.0,top
C128,84.201031,-19.368474,0.0,top
C129,58.684364,-16.598474,90.0,top
C13,68.81,23.18,90.0,top
C130,11.56,42.68,0.0,top
C131,19.06,6.18,90.0,top
C132,20.63,24.96,0.0,top
C133,9.465,10.72,0.0,top
C134,7.09,4.57,270.0,top
C135,20.9775,16.745,0.0,top
C136,20.73,29.38,0.0,top
C137,14.8275,19.065,90.0,top
C138,10.89,-48.31,270.0,top
C139,21.81,35.43,90.0,top
C14,60.367697,-16.348474,270.0,top
C140,20.56,35.43,90.0,top
C141,70.301031,-31.248474,90.0,top
C142,19.31,35.43,90.0,top
C143,12.06,27.7175,0.0,bottom
C144,23.06,35.43,90.0,top
C145,94.861031,-35.518474,0.0,top
C146,56.801031,-22.248474,0.0,top
C147,83.801031,-29.748474,0.0,top
C148,56.801031,-23.898474,0.0,top
C149,56.801031,-25.448474,0.0,top
C15,89.121031,-32.748474,270.0,top
C150,56.801031,-27.048474,0.0,top
C16,57.06,25.18,0.0,top
C17,92.81,42.93,270.0,top
C18,20.56,5.93,90.0,top
C19,46.96,-2.77,180.0,top
C2,69.551031,-24.748474,180.0,top
C20,74.301031,-34.748474,270.0,top
C21,56.801031,-19.048474,0.0,top
C22,56.801031,-20.648474,0.0,top
C23,73.051031,-34.748474,270.0,top
C24,65.31,10.18,90.0,top
C25,65.31,26.68,90.0,top
C26,63.56,0.43,180.0,top
C27,63.56,16.93,180.0,top
C29,32.56,13.93,0.0,top
C3,71.301031,-48.498474,90.0,top
C30,46.96,-11.47,0.0,top
C31,27.81,19.43,0.0,top
C32,30.56,16.18,90.0,top
C33,75.551031,-34.748474,270.0,top
C35,92.991031,-26.308474,90.0,top
C36,61.81,26.68,270.0,top
C37,61.81,10.18,270.0,top
C38,14.811031,-28.223474,90.0,bottom
C39,83.801031,-33.498474,0.0,top
C4,91.301031,-26.308474,90.0,top
C40,10.89,-45.7,90.0,top
C41,77.551031,-45.748474,0.0,top
C42,53.99,-40.46,0.0,top
C43,52.0,-38.13,0.0,top
C44,51.96,-32.96,0.0,top
C45,76.801031,-34.748474,270.0,top
C46,38.06,3.93,270.0,top
C47,40.56,3.93,270.0,top
C48,41.81,3.93,270.0,top
C49,39.31,3.93,270.0,top
C5,69.551031,-26.248474,0.0,top
C50,88.681031,-26.708474,90.0,top
C500,56.801031,-14.298474,0.0,top
C51,83.551031,-47.748474,180.0,top
C52,29.81,11.18,0.0,top
C53,82.81,34.18,90.0,top
C54,82.81,39.68,90.0,top
C55,71.31,38.68,90.0,top
C56,82.81,45.18,90.0,top
C57,71.551031,-32.248474,270.0,top
C58,87.211031,-35.468474,270.0,top
C59,29.81,9.93,0.0,top
C6,61.88,-31.39,270.0,top
C60,89.951031,-26.708474,90.0,top
C61,47.56,40.93,270.0,top
C62,11.56,8.67,270.0,top
C63,57.201031,-16.598474,90.0,top
C64,32.56,7.18,180.0,top
C65,32.56,9.93,0.0,top
C66,38.06,40.93,270.0,top
C67,29.81,5.93,0.0,top
C68,94.861031,-37.448474,0.0,top
C69,90.437697,-35.868474,270.0,top
C7,69.551031,-23.498474,180.0,top
C70,88.724364,-35.868474,270.0,top
C71,82.81,1.18,90.0,top
C72,82.81,17.68,90.0,top
C73,82.81,6.68,90.0,top
C74,82.81,23.18,90.0,top
C75,82.81,28.68,90.0,top
C76,82.81,12.18,90.0,top
C77,32.56,16.93,0.0,top
C78,79.301031,-34.748474,90.0,top
C79,83.55,-24.16,180.0,top
C8,16.31,5.93,90.0,top
C80,32.56,12.68,0.0,top
C81,32.56,5.93,180.0,top
C82,72.201031,-20.57,270.0,top
C83,69.551031,-29.248474,0.0,top
C84,36.81,3.93,90.0,top
C85,49.31,4.93,90.0,top
C86,54.06,21.93,180.0,top
C87,36.56,25.93,270.0,top
C88,48.06,4.93,270.0,top
C89,32.56,19.18,0.0,top
C9,79.951031,-16.868474,180.0,top
C90,54.06,20.43,0.0,top
C91,-0.44,12.93,180.0,top
C94,-0.44,19.93,180.0,top
C95,-0.44,26.93,180.0,top
C96,15.06,5.93,90.0,top
C97,92.151031,-35.868474,270.0,top
C98,29.07,30.64,270.0,top
C99,17.56,5.93,90.0,top
D1,94.001031,-21.468474,270.0,top
D10,83.6385,-37.871006,45.0,top
D11,92.551031,-49.498474,0.0,top
D12,17.88,22.41,0.0,top
D13,0.12,7.42,270.0,top
D14,-0.55,22.71098,90.0,top
D15,-0.55,29.71098,90.0,top
D16,50.535,45.37,0.0,top
D17,45.285,45.37,0.0,top
D18,40.035,45.37,0.0,top
D19,11.535,45.37,0.0,top
D2,6.56,15.68,90.0,top
D20,22.035,45.37,0.0,top
D22,1.81,44.43,0.0,top
D24,-0.55,38.71098,90.0,top
D3,6.56,22.68,90.0,top
D4,-0.5,15.735279,90.0,top
D5,6.56,29.68,90.0,top
D6,94.961031,-30.280974,90.0,top
D7,32.51,24.43,270.0,top
D8,-0.49,-46.36,90.0,top
D9,18.1275,9.775,0.0,top
J1,93.3975,3.93,90.0,bottom
J2,93.3975,20.43,90.0,bottom
J3,93.3975,36.93,90.0,bottom
L1,69.051031,-31.248474,270.0,top
L10,70.31,1.18,270.0,top
L11,84.31,12.18,270.0,top
L12,3.46,9.1025,270.0,top
L2,89.801031,-42.498474,0.0,top
L3,32.56,8.68,180.0,top
L4,91.641031,-32.010974,90.0,top
L5,16.445,13.115,0.0,top
L6,16.1975,25.75,0.0,top
L7,84.31,45.18,90.0,top
L8,70.31,17.68,270.0,top
L9,84.31,28.68,270.0,top
P1,60.56,44.12,180.0,top
P11,91.88,-14.27,90.0,top
P15,32.81,43.08,180.0,bottom
P2,0.01,-46.47,90.0,bottom
P3,-0.34,38.68,90.0,bottom
P4,33.9695,24.76,180.0,bottom
P5,-0.34,22.68,90.0,bottom
P6,-1.16,-13.86,270.0,bottom
P8,-0.76,-31.8,0.0,bottom
P9,16.81,43.08,180.0,bottom
Q1,10.31,16.68,270.0,top
Q2,10.31,23.68,270.0,top
Q3,10.31,30.68,270.0,top
Q4,34.31,29.68,90.0,top
Q5,7.0925,-45.39,0.0,top
R1,54.16,45.23,180.0,top
R10,10.06,19.68,0.0,top
R100,63.601031,-33.498474,270.0,top
R101,73.31,29.93,270.0,top
R102,73.31,35.43,270.0,top
R103,61.81,34.43,270.0,top
R104,73.31,40.93,270.0,top
R105,14.56,35.93,0.0,top
R106,24.06,37.43,0.0,top
R107,63.601031,-30.748474,90.0,top
R108,26.81,37.43,0.0,top
R109,82.81,14.93,90.0,top
R11,10.06,26.68,0.0,top
R110,82.81,-1.57,90.0,top
R111,82.81,20.43,90.0,top
R112,82.81,3.93,90.0,top
R113,82.81,9.43,90.0,top
R114,82.81,25.93,90.0,top
R115,83.801031,-30.948474,0.0,top
R116,23.69,5.87,270.0,top
R117,23.69,3.12,270.0,top
R118,69.551031,-27.748474,180.0,top
R119,26.81,35.93,180.0,top
R12,10.06,14.18,0.0,top
R120,11.56,43.93,0.0,top
R121,22.37,3.12,90.0,top
R122,22.37,5.87,90.0,top
R123,73.31,13.43,270.0,top
R124,73.31,-2.82,270.0,top
R125,73.31,18.93,270.0,top
R126,73.31,2.43,270.0,top
R127,73.31,7.93,270.0,top
R128,73.31,24.43,270.0,top
R129,59.401031,-27.048474,180.0,top
R13,10.06,21.18,0.0,top
R130,68.81,17.68,90.0,top
R131,68.81,1.18,90.0,top
R132,10.29,8.67,90.0,top
R133,10.26,6.18,90.0,top
R134,22.06,44.18,0.0,top
R135,95.81,19.68,0.0,top
R136,95.81,18.43,180.0,top
R137,93.81,24.43,0.0,top
R138,95.81,3.18,0.0,top
R139,95.81,1.93,180.0,top
R14,10.06,28.18,0.0,top
R140,93.81,7.93,0.0,top
R141,7.64,-47.7,0.0,top
R142,7.64,-48.95,180.0,top
R143,87.801031,-49.998474,90.0,top
R144,8.32,4.57,270.0,top
R145,20.9775,17.975,0.0,top
R146,20.73,30.61,0.0,top
R147,70.31,23.18,90.0,top
R148,70.31,6.68,90.0,top
R149,-0.19,35.18,0.0,top
R15,87.403031,-26.688474,270.0,top
R152,62.36,37.53,90.0,top
R153,32.56,15.43,180.0,top
R154,16.81,35.43,90.0,top
R159,12.19,10.66,180.0,top
R16,85.801031,-50.748474,0.0,top
R160,18.06,35.43,90.0,top
R161,62.051031,-16.598474,90.0,top
R162,59.401031,-25.448474,180.0,top
R163,13.39,-45.7,90.0,top
R164,9.64,-45.7,270.0,top
R165,12.14,-45.7,270.0,top
R166,7.06,-42.57,180.0,top
R167,4.38,-42.54,180.0,top
R168,59.401031,-23.898474,180.0,top
R169,59.401031,-22.248474,180.0,top
R17,88.81,30.18,0.0,top
R170,59.401031,-20.648474,180.0,top
R171,59.401031,-19.048474,180.0,top
R172,86.27,-16.86,90.0,top
R173,85.5,-9.99,0.0,top
R174,85.501031,-11.268474,180.0,top
R175,85.501031,-12.568474,0.0,top
R176,85.501031,-13.868474,0.0,top
R177,58.36,37.43,90.0,top
R18,88.81,41.68,0.0,top
R19,86.101031,-28.258474,90.0,top
R2,74.59,-20.56,90.0,top
R20,-0.44,18.43,0.0,top
R21,88.151031,-28.968474,180.0,top
R22,-0.44,25.43,0.0,top
R23,68.81,3.93,90.0,top
R24,68.81,20.43,90.0,top
R25,70.31,25.93,90.0,top
R26,70.31,9.43,90.0,top
R27,30.141031,-34.858474,0.0,top
R28,34.871031,-34.838474,0.0,top
R29,35.591031,-33.138474,180.0,top
R3,88.81,13.68,0.0,top
R30,1.1,-47.36,90.0,top
R31,91.31,42.93,270.0,top
R32,30.151031,-30.128474,0.0,top
R33,34.881031,-30.108474,0.0,top
R34,35.601031,-28.378474,180.0,top
R35,16.8275,19.945,180.0,top
R36,67.56,25.93,0.0,top
R37,67.56,9.43,0.0,top
R38,67.56,10.93,0.0,top
R39,67.56,27.43,0.0,top
R4,88.81,-3.07,0.0,top
R40,34.31,33.68,180.0,top
R41,66.56,0.43,0.0,top
R42,66.56,16.93,0.0,top
R43,64.56,-1.07,0.0,top
R44,64.56,15.43,0.0,top
R45,34.31,32.18,180.0,top
R46,66.101031,-33.498474,270.0,top
R47,67.31,20.43,270.0,top
R48,67.31,3.93,270.0,top
R49,67.31,6.68,90.0,top
R5,88.81,8.43,0.0,top
R50,67.31,23.18,90.0,top
R51,30.161031,-25.388474,0.0,top
R52,34.891031,-25.368474,0.0,top
R53,35.611031,-23.668474,180.0,top
R54,61.81,-1.07,0.0,top
R55,61.81,15.43,0.0,top
R56,63.31,26.68,90.0,top
R57,63.31,10.18,90.0,top
R58,66.101031,-30.748474,90.0,top
R59,16.58,32.58,180.0,top
R6,88.81,24.93,0.0,top
R60,20.97,19.2,180.0,top
R61,40.06,28.43,270.0,top
R62,95.81,33.43,180.0,top
R63,82.81,31.43,90.0,top
R64,88.81,34.43,180.0,top
R65,95.81,35.43,180.0,top
R66,82.81,36.93,90.0,top
R67,88.81,38.43,180.0,top
R68,95.81,37.43,180.0,top
R69,71.31,35.93,90.0,top
R7,9.64,-48.31,270.0,top
R70,88.81,36.43,180.0,top
R71,95.81,39.43,180.0,top
R72,82.81,42.43,90.0,top
R73,88.81,40.43,180.0,top
R74,-0.44,32.43,0.0,top
R75,1.1,-44.76,90.0,top
R76,48.06,45.18,270.0,top
R77,67.401031,-48.948474,90.0,top
R78,67.401031,-43.748474,90.0,top
R79,67.401031,-39.398474,90.0,top
R8,91.051031,-20.078474,0.0,top
R80,20.501031,-11.348474,180.0,top
R81,20.501031,-15.848474,180.0,top
R82,20.551031,-20.598474,180.0,top
R83,42.81,45.18,270.0,top
R84,64.851031,-33.498474,270.0,top
R85,37.56,45.18,270.0,top
R86,60.31,17.43,270.0,top
R87,60.31,0.93,270.0,top
R88,60.31,9.18,90.0,top
R89,60.31,25.68,90.0,top
R9,10.06,12.68,0.0,top
R90,64.851031,-30.748474,90.0,top
R91,83.051031,-50.748474,0.0,top
R92,85.801031,-49.498474,180.0,top
R93,60.31,20.18,90.0,top
R94,60.31,3.68,90.0,top
R95,60.31,22.93,270.0,top
R96,60.31,6.43,270.0,top
R97,19.12,32.55,180.0,top
R98,14.56,37.43,0.0,top
R99,17.31,37.43,0.0,top
REF1,66.06,30.43,0.0,top
REF3,20.941031,-44.278474,0.0,top
REF4,89.84,-42.5,0.0,top
T1,76.97,-30.75,180.0,bottom
T2,72.77,-31.98,180.0,bottom
T44,72.351031,-30.748474,180.0,bottom
T45,74.55,-30.739952,180.0,bottom
T46,75.76,-30.75,180.0,bottom
U1,57.06,27.68,90.0,top
U10,66.56,35.93,270.0,top
U11,78.06,42.43,270.0,top
U13,17.39,17.73,0.0,top
U14,78.06,14.93,270.0,top
U15,78.06,-1.57,270.0,top
U16,78.06,3.93,270.0,top
U17,78.06,20.43,270.0,top
U18,78.06,25.93,270.0,top
U19,78.06,9.43,270.0,top
U2,18.06,-0.32,90.0,top
U20,45.31,40.43,270.0,top
U21,79.301031,-14.368474,90.0,top
U22,40.31,40.43,270.0,top
U23,26.56,9.18,0.0,top
U234,42.66,12.03,90.0,bottom
U24,17.1425,30.365,0.0,top
U25,76.551031,-27.748474,270.0,top
U26,43.31,15.68,270.0,top
U28,8.075,8.1575,270.0,top
U29,84.201031,-16.618474,90.0,top
U3,45.8,-7.175,180.0,top
U4,86.886031,-32.305974,90.0,top
U5,77.801031,-48.998474,270.0,top
U6,63.81,21.43,0.0,top
U7,63.81,4.93,0.0,top
U8,78.06,31.43,270.0,top
U9,78.06,36.93,270.0,top
Y1,64.801031,-27.248474,270.0,top
Y2,27.81,15.43,0.0,top
